<X>,<Y>
28.46735926,17.75270785
28.33746573,17.50235568
28.21031979,17.25059708
28.05020518,16.92355055
27.86912559,16.53931981
27.79705486,16.38192561
27.71890866,16.20836453
27.6513679,16.05599467
27.58460428,15.90329719
27.4888902,15.68084576
27.3655087,15.38811744
27.20763116,15.00421058
27.11184554,14.76649894
27.11184554,14.76649894
27.05633992,14.62718785
26.9858264,14.44855985
26.89487736,14.21540291
26.77240799,13.89646654
26.61967478,13.49065879
26.5184849,13.21688657
26.44848867,13.02524425
26.32099864,12.67152594
26.15919111,12.21425367
26.07568366,11.97481342
25.99292808,11.73536973
25.88347718,11.41562847
25.73913691,10.98924804
25.64848921,10.71914835
25.55839402,10.44925301
25.44533998,10.10901892
25.34601194,9.809135662
25.22842493,9.453632111
25.17148233,9.281505108
25.17148233,9.281505108
25.13165617,9.161166263
25.09188686,9.040911523
25.03284528,8.86186637
24.96034706,8.640405853
24.8626459,8.337154221
24.82374686,8.214215193
24.68644685,7.765309815
24.59593779,7.451149334
24.51118019,7.137288164
24.45108277,6.89883992
24.39489617,6.660417559
24.38836115,6.631564178
24.35642059,6.487295716
24.33087241,6.367833894
24.29730646,6.20468591
24.25769213,6.001706265
24.20778956,5.726431667
24.14513932,5.339712939
24.10376488,5.048899785
24.08328713,4.890560511
24.06421451,4.732091143
24.03711818,4.483476608
24.01754607,4.284059534
24.00062484,4.097824335
23.97806932,3.831256737
23.94822094,3.456100029
23.93792974,3.323997658
23.92766143,3.191881464
23.91187333,2.990466552
23.89164678,2.739850635
23.8618966,2.394392778
23.81998916,1.960168241
23.80958329,1.860448072
23.79787845,1.750718785
23.78598232,1.64101142
23.76925303,1.489733527
23.74846476,1.306448624
23.72012834,1.064546847
23.67993185,0.7359346263
23.61953874,0.2708696552
23.60606704,0.1708093811
23.59254862,0.0707528304
23.57283594,-0.07447534934
23.54928581,-0.2467725412
23.52696088,-0.4082981155
23.49642188,-0.6252037076
23.45454272,-0.9130343511
23.39281689,-1.313748443
23.37724362,-1.41067436
23.36150646,-1.507572688
23.33788224,-1.650876754
23.30944189,-1.819692579
23.2710632,-2.040690893
23.21701884,-2.338227121
23.1625321,-2.622225065
23.10868793,-2.888405552
23.08917596,-2.982282319
23.06958317,-3.076142286
23.0434874,-3.200439968
23.01229888,-3.347792305
22.97230868,-3.534586093
22.91889059,-3.779942993
22.84240619,-4.122213437
22.76637943,-4.451312227
22.74899419,-4.525624605
22.73175624,-4.59997145
22.70698724,-4.707897056
22.68485977,-4.805337753
22.68485977,-4.805337753
