time,yRef,xRef
0,-12.59784036,6.794567052
0.00002511886432,-12.59787246,6.794763623
0.0001507131859,-12.59803296,6.795746479
0.0007786847938,-12.59883547,6.800660757
0.003918542833,-12.60284799,6.82523215
0.01132856078,-12.61231749,6.883220268
0.01998627258,-12.62338146,6.950972388
0.02979470101,-12.63591597,7.027729598
0.04098552495,-12.65021708,7.115304936
0.05397442143,-12.66681601,7.216951339
0.06935203262,-12.68646755,7.337290959
0.08802515243,-12.71033053,7.483420036
0.1144877636,-12.74414795,7.690506854
0.1519454526,-12.79201633,7.983637171
0.2,-12.85342678,8.359694667
0.2055264341,-12.86048919,8.40294254
0.2110528682,-12.8675516,8.446190414
0.2203342963,-12.87941263,8.51882351
0.2310254918,-12.8927318,8.602432596
0.2429617454,-12.9069619,8.695673478
0.2560837313,-12.92260561,8.798176791
0.2718585585,-12.94141196,8.921402959
0.2910293416,-12.96426689,9.071156875
0.315219535,-12.99310583,9.260120267
0.3470088168,-13.03100422,9.508444471
0.3901587629,-13.0824465,9.8455133
0.4,-13.09417898,9.922388814
0.4104302307,-13.10661364,10.00386529
0.4208604615,-13.1190483,10.08534177
0.4364378008,-13.13761921,10.20702525
0.4547963874,-13.15812592,10.35020826
0.4796433256,-13.14235107,10.53685479
0.5044880214,-13.12657764,10.72348447
0.5406024632,-13.10364926,10.99477081
0.587253099,-13.07403165,11.34520348
0.6,-13.06593888,11.44095632
0.6112274075,-13.05881081,11.52529494
0.6224548151,-13.05168274,11.60963356
0.6385678374,-13.04145288,11.7306722
0.6573576537,-13.02952358,11.87181852
0.681303213,-13.01375536,12.05155217
0.7126771727,-12.92036871,12.26880415
0.7557059305,-12.7922908,12.5667609
0.8,-12.66044659,12.87347943
0.8498341849,-12.51211187,13.21856101
0.8933822922,-12.38248808,13.52011404
0.9283614569,-12.23301198,13.73470294
0.9620384876,-12.0574451,13.92202243
1,-11.85954213,14.1331732
1.049055662,-11.60380256,14.40603223
1.088121183,-11.40014412,14.62332376
1.127186704,-11.19648568,14.84061529
1.169473229,-10.95391264,15.04215781
1.2,-10.77512018,15.18205463
1.239221093,-10.54540588,15.36179543
1.239221093,-10.54540588,15.36179543
1.251610382,-10.47284297,15.41857255
1.263999671,-10.40028006,15.47534967
1.281572322,-10.29735868,15.55588089
1.302491852,-10.17483493,15.65175005
1.329708162,-10.01543154,15.77647583
1.365625687,-9.810452613,15.9437494
1.386554428,-9.720063586,16.05562894
1.4,-9.66199358,16.12750543
1.432019542,-9.523704556,16.29867347
1.467538355,-9.370302546,16.4885477
1.506214297,-9.203265235,16.6952991
1.506214297,-9.203265235,16.6952991
1.520030918,-9.143592702,16.76915912
1.53384754,-9.08392017,16.84301915
1.553469264,-8.999176013,16.94791172
1.577194184,-8.896710586,17.07473889
1.6,-8.835917558,17.21284326
1.644422818,-8.798338806,17.51656673
1.684514452,-8.764423949,17.79067744
1.684514452,-8.764423949,17.79067744
1.700157085,-8.75119132,17.89762777
1.715799719,-8.737958692,18.0045781
1.738635979,-8.718640733,18.16071201
1.766820995,-8.694798083,18.35341593
1.8,-8.66673085,18.58026427
1.811668734,-8.656859876,18.66004464
1.823337469,-8.670296886,18.74165566
1.840098846,-8.710582112,18.8605327
1.858894528,-8.7557567,18.99383768
1.883246273,-8.814285038,19.16654803
1.915324056,-8.891382565,19.39405391
1.961201715,-9.00164748,19.71943291
2,-9.094897435,19.99460273
2.009695482,-9.118200097,20.06336619
2.019390965,-9.141502758,20.13212965
2.030688237,-9.168655251,20.21225351
2.043770897,-9.200379744,20.30460425
2.059304216,-9.245160514,20.40322161
2.078219276,-9.299690451,20.52330883
2.09123364,-9.337209364,20.60593394
2.09123364,-9.337209364,20.60593394
2.10443732,-9.37527405,20.68976096
2.117640999,-9.413338736,20.77358799
2.134923973,-9.463163559,20.88331349
2.155813963,-9.523386992,21.01593907
2.182692758,-9.60087546,21.18658615
2.2,-9.650770245,21.29646573
2.212510416,-9.686836334,21.37589139
2.225020832,-9.722902422,21.45531705
2.243702577,-9.776759739,21.57392301
2.248643986,-9.791005253,21.60529485
2.248643986,-9.791005253,21.60529485
2.262327002,-9.83045181,21.69216506
2.276010018,-9.851029075,21.77508043
2.293852433,-9.84446427,21.87620086
2.315607173,-9.836459994,21.99949407
2.343872172,-9.826060382,22.15968364
2.381683941,-9.812148203,22.37397875
2.4,-9.805409129,22.47778351
2.455596685,-9.784953302,22.79287318
2.491054103,-9.771907365,22.99382519
2.526511521,-9.64359717,23.1836454
2.571106123,-9.451669851,23.4194306
2.571285598,-9.450897419,23.42037954
2.571285598,-9.450897419,23.42037954
2.584103653,-9.395730765,23.48815249
2.596921709,-9.34056411,23.55592545
2.6,-9.327315686,23.57220131
2.615391457,-9.261073565,23.65358061
2.628148556,-9.206169255,23.72103127
2.644709576,-9.134893539,23.80859442
2.664620516,-9.049200356,23.9138696
2.690113083,-8.939484832,24.04865655
2.717558868,-8.821363005,24.19377075
2.717558868,-8.821363005,24.19377075
2.7288531,-8.768808556,24.25590751
2.740147331,-8.710525095,24.32155876
2.762807629,-8.593587479,24.45327881
2.788431737,-8.461355228,24.60222694
2.8,-8.40165764,24.66947108
2.812283582,-8.338268674,24.74087324
2.824567165,-8.274879707,24.8122754
2.842864633,-8.180456308,24.91863514
2.864479712,-8.068912504,25.04427953
2.89292811,-7.922105608,25.20964473
2.931152223,-7.724851505,25.43183432
2.955045403,-7.606233173,25.57435425
2.971675001,-7.541022311,25.68701112
2.9883046,-7.475811449,25.79966799
3,-7.429949419,25.87889824
3.015867185,-7.367728264,25.98639016
3.03173437,-7.305507109,26.09388207
3.053718809,-7.219297922,26.2428152
3.08119065,-7.111570581,26.42892261
3.118578715,-6.964958024,26.68220728
3.168718685,-6.768340487,27.02187947
3.2,-6.670374496,27.24683026
3.21696732,-6.623141225,27.3719623
3.23393464,-6.575907953,27.49709435
3.257209961,-6.511114602,27.66874718
3.286740827,-6.428907193,27.88653394
3.327165042,-6.316375107,28.18465791
3.379773663,-6.169924326,28.57264047
3.4,-6.113618672,28.7218074
3.410669067,-6.092364614,28.8014021
3.421338134,-6.079474198,28.88189943
3.436251027,-6.061456371,28.99441612
3.453554514,-6.040550216,29.12496968
3.475283149,-6.014297577,29.28891065
3.503414295,-5.980309395,29.5011581
3.542822809,-5.932695844,29.79849247
3.58784883,-5.878295194,30.13821052
3.6,-5.863614093,30.22989022
3.610097229,-5.851414573,30.30607307
3.620194458,-5.839215054,30.38225593
3.634313561,-5.825793509,30.48917608
3.650532348,-5.835921015,30.61475347
3.670610683,-5.848458541,30.77021423
3.696060417,-5.864350132,30.96726419
3.729920489,-5.885493396,31.22943297
3.776460738,-5.91455455,31.5897807
3.8,-5.929253184,31.77203842
3.841941815,-5.955442935,32.09678181
3.880181747,-5.993166315,32.39449571
3.880181747,-5.993166315,32.39449571
3.880181747,-5.993166315,32.39449571
3.895620685,-6.013067602,32.51524528
3.911059622,-6.032968888,32.63599485
3.933214249,-6.061526914,32.80926853
3.960628337,-6.096864556,33.02367702
4,-6.147615896,33.33160696
4.011421951,-6.162339158,33.42093926
4.022843902,-6.17706242,33.51027155
4.039167117,-6.198103569,33.63793714
4.058317562,-6.222789108,33.78771479
4.082914709,-6.254495622,33.98009169
4.115383167,-6.255581288,34.2306024
4.152598722,-6.251260754,34.51727138
4.182763578,-6.24775877,34.74962928
4.2,-6.24575771,34.8824003
4.21431787,-6.24409548,34.99268992
4.228635741,-6.242433249,35.10297953
4.249806308,-6.239975455,35.26605502
4.275586969,-6.236982453,35.46464176
4.310706916,-6.232905209,35.7351684
4.332881766,-6.190162596,35.8919741
4.355056617,-6.141889499,36.04685145
4.385669863,-6.075246608,36.26066567
4.4,-6.044050904,36.36075264
4.414859692,-6.011702395,36.46453822
4.429719384,-5.979353886,36.56832381
4.451965134,-5.930926447,36.72369635
4.47914456,-5.871758741,36.9135275
4.51647083,-5.790502067,37.17422796
4.542443302,-5.728766281,37.34953119
4.547922695,-5.702829504,37.37135918
4.547922695,-5.702829504,37.37135918
4.564883344,-5.622546069,37.43892449
4.581452103,-5.544117645,37.50492866
4.6,-5.456320951,37.57881701
4.627949962,-5.324019465,37.69015992
4.663659034,-5.154990142,37.83241242
4.712094007,-4.925722609,38.02536047
4.755781766,-4.718926072,38.19939728
4.8,-4.445614758,38.25654682
